B02001_001E,B02001_002E,state,county,tract,block group
1144,991,04,013,613700,2
5123,4255,04,013,815800,1
2234,2062,04,015,951502,2
1261,835,04,013,116608,2
2531,1778,04,027,000501,2
750,714,04,013,615500,3
3028,2622,04,023,966200,1
1466,1150,04,013,082024,1
2309,1829,04,013,618200,2
1535,1245,04,013,216839,2
1860,1833,04,007,000700,1
3612,1997,04,019,004407,1
1266,1053,04,013,619900,4
834,543,04,013,810400,1
1626,938,04,019,004322,1
1926,1591,04,013,105601,2
1821,1578,04,013,103306,1
1230,946,04,019,003101,2
2286,1907,04,013,112505,4
1653,1302,04,013,104222,1
2302,1743,04,013,422503,1
2466,1804,04,013,523003,4
1281,840,04,027,011600,1
882,626,04,013,319500,3
1559,1357,04,013,092308,3
1083,0,04,001,942700,1
1380,1302,04,013,040507,1
1299,968,04,013,106900,1
1302,1079,04,013,113000,1
2665,2404,04,025,000500,2
1924,1661,04,013,217900,1
748,718,04,013,071503,2
5127,3774,04,013,814800,2
1176,1027,04,013,614200,3
1075,622,04,013,614500,1
1074,1074,04,013,617400,1
381,381,04,025,000401,3
1157,961,04,013,813500,2
1538,1022,04,013,061043,1
1216,884,04,013,216809,2
1050,998,04,013,420401,1
1531,1443,04,013,619700,3
2288,1213,04,013,116604,1
2348,1631,04,021,001704,3
1788,1619,04,013,218300,3
1754,1473,04,019,004626,1
1017,745,04,019,002400,5
1100,859,04,005,002000,1
762,591,04,007,001100,5
698,634,04,003,000500,2
812,667,04,013,104221,3
660,549,04,019,004056,1
803,228,04,013,116400,2
1170,1091,04,001,970300,3
1059,821,04,005,001700,1
1029,983,04,019,004404,1
859,729,04,019,004720,2
2650,2578,04,013,421302,1
1953,1212,04,013,422402,3
1645,1399,04,013,106400,2
408,306,04,013,108400,1
695,536,04,013,422501,3
3097,1850,04,013,422107,1
883,842,04,003,000800,2
1132,938,04,027,000800,2
2649,1459,04,027,001100,2
1756,1014,04,013,109500,2
785,703,04,013,216826,1
1244,898,04,019,002802,3
1370,1355,04,013,108000,1
1382,1132,04,013,103217,1
945,691,04,019,003400,2
1721,975,04,013,420501,1
1439,1380,04,019,004714,3
1538,1051,04,013,421101,1
728,686,04,025,000300,2
677,575,04,019,004613,1
415,20,04,019,940600,1
767,613,04,013,107400,2
1967,1639,04,013,217800,1
1872,1613,04,013,319404,2
1361,1068,04,013,112700,2
893,533,04,013,116719,2
1695,853,04,019,002602,2
1670,1415,04,013,420800,4
3208,872,04,013,116612,1
708,568,04,013,217204,3
2024,1883,04,013,105003,2
1798,1499,04,013,811900,4
808,681,04,013,071802,3
2629,2118,04,013,319904,1
1614,1271,04,013,092724,1
861,795,04,021,002300,2
1761,1546,04,015,951401,1
1256,651,04,019,001303,1
2544,2216,04,013,613300,1
1920,1752,04,025,000607,2
442,365,04,027,001001,2
2446,1962,04,013,814400,1
1126,927,04,013,811600,2
2711,2219,04,013,817100,4
871,795,04,015,950704,2
1071,955,04,013,422222,2
908,81,04,001,945001,3
1052,526,04,013,616400,5
2206,1604,04,013,092715,2
969,4,04,005,945100,2
3554,3099,04,019,004326,1
1531,1394,04,013,422637,1
2874,2150,04,027,011800,3
2712,2489,04,017,964800,1
1303,1249,04,017,965200,3
1110,897,04,013,106703,1
2097,1755,04,013,116729,2
3280,2378,04,013,050701,1
2205,1698,04,021,001304,1
4589,3755,04,021,000209,1
1395,1203,04,013,107601,3
1804,1364,04,013,216853,1
1147,960,04,011,960200,2
2580,2031,04,003,002001,2
1197,1151,04,013,040522,2
2677,1564,04,013,112514,1
2817,2626,04,013,040515,1
1055,585,04,019,003702,4
1280,952,04,013,103609,3
1392,880,04,013,106300,3
1875,1712,04,013,104202,3
1868,1409,04,013,082002,2
2891,1911,04,013,112402,1
1339,719,04,019,004011,3
502,463,04,013,319401,1
853,730,04,013,422302,4
615,589,04,019,004317,1
1748,1179,04,019,004413,1
699,532,04,019,001400,3
704,676,04,013,217400,2
1180,844,04,013,103900,1
878,715,04,019,003502,3
2636,2308,04,019,004618,2
1992,936,04,013,113300,3
2313,1108,04,013,113501,1
1059,443,04,013,421304,1
1234,1180,04,021,002200,2
1337,1296,04,013,616800,1
1188,1046,04,013,420302,1
1864,1660,04,019,004422,3
1583,1257,04,013,050609,3
2311,1814,04,013,061039,1
857,673,04,005,002300,3
2211,1915,04,013,610900,1
1948,1817,04,025,001603,3
685,666,04,013,420116,3
895,499,04,013,092500,4
1441,1039,04,013,106802,2
0,0,04,003,001402,1
1629,1496,04,013,061010,1
596,580,04,013,071702,5
1128,385,04,019,001801,4
1872,1733,04,013,610500,1
1238,59,04,005,945200,1
2346,1341,04,013,106003,1
753,227,04,013,060902,3
1229,786,04,023,966105,5
2044,1664,04,013,216846,1
1687,1329,04,019,004647,1
5217,4736,04,015,952002,2
1443,1102,04,013,811300,1
1135,1045,04,013,103607,3
2438,2410,04,013,422644,2
531,503,04,021,002103,2
1865,1403,04,019,002703,1
1219,1143,04,013,619000,3
1709,1040,04,013,116732,2
2180,1832,04,013,522903,1
1302,1190,04,013,071510,2
1595,1573,04,013,105300,3
999,664,04,019,004505,2
1228,1078,04,013,103606,2
600,600,04,013,071801,5
896,757,04,019,004050,2
1366,1219,04,019,004035,1
1581,1135,04,017,960500,1
2409,226,04,017,942500,1
711,686,04,013,217201,1
1233,387,04,013,115300,2
1559,1167,04,005,000200,2
2019,1436,04,005,000800,3
2427,2254,04,013,613900,1
2416,2087,04,013,613800,2
1814,1645,04,013,613300,4
841,841,04,013,613300,3
1595,1167,04,013,611100,1
5013,4429,04,013,216847,2
1109,830,04,019,004422,1
726,548,04,013,421400,3
1031,781,04,013,421801,1
1735,975,04,013,421802,1
1176,865,04,013,422203,3
1972,1727,04,013,422501,2
1688,1474,04,013,103215,2
1589,1405,04,013,103305,2
1946,1180,04,013,116704,1
