B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
4664,242,0,22,0,41,25,4249,85,10,005,050902
5257,271,3,161,0,6,152,4531,133,10,005,051004
5428,211,31,38,0,3,127,4917,101,10,005,051005
3406,10,22,26,12,14,32,3154,136,10,005,051006
5013,102,24,70,0,14,30,4694,79,10,005,051007
836,0,0,0,0,0,5,811,20,10,005,051101
932,20,0,3,0,5,0,893,11,10,005,051102
1009,6,0,26,0,0,8,949,20,10,005,051103
1597,16,0,8,0,28,25,1497,23,10,005,051201
884,0,0,1,0,3,0,863,17,10,005,051202
5354,311,0,21,0,88,56,4790,88,10,005,051702
4195,500,0,15,0,7,129,3510,34,10,005,051900
6400,1267,0,97,0,42,119,4381,494,10,005,050602
4894,679,0,0,0,0,41,3752,422,10,005,051801
5198,607,14,5,0,345,66,3300,861,10,005,050302
4365,747,100,0,0,108,97,3009,304,10,005,050701
6794,184,0,43,0,52,235,6213,67,10,005,051301
3761,164,0,8,0,0,131,3091,367,10,005,051302
3715,129,9,93,17,122,10,3258,77,10,005,051701
4725,2131,76,7,0,27,161,2226,97,10,005,051802
4619,224,39,148,21,28,81,4037,41,10,005,050103
3763,1170,0,4,0,74,70,2118,327,10,005,050200
5668,465,0,90,0,0,0,4768,345,10,005,051003
6126,375,80,54,0,84,182,5011,340,10,005,050802
3799,570,53,182,0,107,133,2062,692,10,005,051400
3822,455,31,8,0,12,52,2876,388,10,005,050801
6888,827,13,73,0,29,135,5570,241,10,001,042800
9733,1667,67,100,0,28,568,6962,341,10,001,042202
2813,31,0,21,0,21,4,2666,70,10,001,043100
4786,1004,17,24,0,38,247,3200,256,10,001,040201
2109,440,7,70,0,0,115,1398,79,10,001,041600
3943,598,9,14,0,125,85,2950,162,10,001,042100
5552,1607,15,112,0,0,179,3396,243,10,001,043000
4680,1364,0,172,0,7,235,2794,108,10,001,041702
15615,4164,15,247,0,60,661,9690,778,10,001,040202
5958,2104,0,0,0,17,33,3422,382,10,001,040203
2843,958,5,13,0,4,91,1694,78,10,001,040900
2176,890,36,40,0,106,69,991,44,10,001,041300
6051,1165,0,239,0,200,150,4167,130,10,001,041701
3067,121,55,31,0,75,113,2654,18,10,001,042000
4575,513,9,19,0,49,124,3690,171,10,001,042900
4779,1959,132,171,0,0,176,2081,260,10,001,040700
3661,1724,2,28,0,89,292,1431,95,10,001,041400
4460,1677,0,170,0,39,200,2284,90,10,001,041500
10200,2456,246,325,0,72,402,6430,269,10,001,041801
5606,1645,292,170,0,74,179,2990,256,10,001,041802
6808,531,40,86,2,2,201,5725,221,10,001,040100
3881,300,38,27,6,105,208,2803,394,10,001,041100
4645,1722,0,513,26,15,244,1955,170,10,001,041200
5320,193,51,9,0,62,290,4628,87,10,001,041900
12312,2753,54,510,0,419,938,7005,633,10,001,042201
3831,1391,0,14,0,329,246,1422,429,10,001,042500
6415,2840,5,79,0,18,396,2601,476,10,001,041000
2133,1401,0,0,0,92,24,475,141,10,003,001600
2436,1455,0,118,0,222,45,167,429,10,003,002300
4605,488,0,155,0,84,48,2980,850,10,003,012000
4598,953,64,44,0,33,122,2391,991,10,003,012200
4835,1255,44,6,0,434,135,1974,987,10,003,012900
3109,440,0,207,0,134,73,1678,577,10,003,013200
4450,345,0,162,0,42,101,3564,236,10,003,013604
2006,169,0,86,0,145,25,1540,41,10,003,014200
1674,152,0,97,0,23,94,1243,65,10,003,014702
5496,899,54,193,0,293,203,3706,148,10,003,014705
1759,93,0,4,0,13,12,1588,49,10,003,001200
3412,210,8,243,0,27,90,2791,43,10,003,011400
3044,138,0,1,0,38,19,2179,669,10,003,012600
4092,600,14,0,0,172,41,3040,225,10,003,012700
